"InventoryID","ProjectID","CoCCode","HouseholdType","Availability","UnitInventory","BedInventory","CHVetBedInventory","YouthVetBedInventory","VetBedInventory","CHYouthBedInventory","YouthBedInventory","CHBedInventory","OtherBedInventory","ESBedType","InventoryStartDate","InventoryEndDate","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"3945","1396","XX-501",3,1,6,23,0,0,0,0,0,0,23,1,2019-02-06,2020-01-27,2021-10-07 10:19:15,2021-10-07 10:19:15,"23",,"1036"
"1720","1396","XX-501",1,1,0,5,0,0,0,0,0,0,5,1,2017-10-01,2018-01-30,2017-10-12 13:16:47,2021-10-07 10:17:13,"23",,"1036"
"3951","1396","XX-501",1,1,0,5,0,0,0,0,0,0,5,1,2021-01-27,,2021-10-07 10:24:09,2021-10-07 10:24:09,"23",,"1036"
"3949","1396","XX-501",1,1,0,5,0,0,0,0,0,0,5,1,2019-02-06,2020-01-28,2021-10-07 10:22:50,2021-10-07 10:22:50,"23",,"1036"
"1986","1397","XX-501",3,,1,5,0,0,0,0,0,5,0,,2018-01-31,2021-01-26,2018-06-11 11:50:03,2022-01-27 06:47:04,"27",,"1036"
"4336","1397","XX-501",1,,0,5,0,0,0,0,0,5,0,,2021-01-27,,2022-01-27 06:46:53,2022-01-27 06:46:53,"27",,"1036"
"1728","1397","XX-501",1,,0,5,0,0,0,0,0,5,0,,2017-10-01,2021-01-26,2017-10-12 13:20:39,2022-01-27 06:46:11,"27",,"1036"
"4337","1397","XX-501",3,,1,5,0,0,0,0,0,5,0,,2021-01-27,,2022-01-27 06:47:26,2022-01-27 06:47:26,"27",,"1036"
"3607","1418","XX-501",1,,0,6,0,0,0,0,0,0,6,,2021-01-27,2021-01-28,2021-05-18 11:32:01,2021-05-18 11:32:01,"27",,"1036"
"2665","1418","XX-501",3,,3,16,0,0,0,0,0,0,16,,2020-01-28,2020-01-30,2020-06-17 10:47:40,2021-01-10 12:47:58,"23",,"1036"
"4135","1418","XX-501",1,,0,9,0,0,0,0,0,0,9,,2021-01-29,2021-09-30,2021-11-16 13:05:45,2022-01-27 06:13:35,"27",,"1036"
"3147","1418","XX-501",1,,0,7,0,0,0,0,0,0,7,,2020-01-29,2020-01-30,2020-10-23 10:43:21,2020-10-23 10:43:21,"27",,"1036"
"3148","1418","XX-501",3,,7,33,0,0,0,0,0,0,33,,2020-01-31,2020-09-30,2020-10-23 10:58:23,2020-10-23 10:58:23,"27",,"1036"
